Diet,Trig
Black,165.73
Black,83.24
Black,998.16
Black,42.62
Black,171.99
Black,734.01
Black,84.39
Black,208.76
Black,290.88
Black,298.90
Ctrl,139.95
Ctrl,953.96
Ctrl,648.98
Ctrl,486.39
Ctrl,2268.20
Ctrl,182.15
Ctrl,568.92
Ctrl,1578.87
Ctrl,159.43
Ctrl,890.76
Navy,182.16
Navy,73.52
Navy,126.44
Navy,187.91
Navy,406.58
Navy,142.34
Navy,503.59
Navy,163.19
Navy,50.91
Navy,318.96
Soy,316.56
Soy,1743.54
Soy,432.90
Soy,156.40
Soy,808.23
Soy,940.58
Soy,254.08
Soy,735.94
Soy,320.79
Soy,1794.59
